WKT,nama,deskripsi
"LINESTRING (106.7456997 -6.3610633, 106.7711056 -6.3583337, 106.7785283 -6.3159625)",Garis 2,
"POLYGON ((106.7785283 -6.3159625, 106.7711056 -6.3583337, 106.7456997 -6.3610633, 106.7333401 -6.423842, 106.7731656 -6.4381708, 106.8329037 -6.4436293, 106.8541897 -6.4634158, 106.8940152 -6.3910889, 106.9118679 -6.3917712, 106.9131108 -6.3664634, 106.8513127 -6.3459907, 106.7895146 -6.3610041, 106.8040646 -6.3167042, 106.7785283 -6.3159625))",Depok,
